,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
D1,1.0,0.226567,0.511171,-0.206406,-0.109089,-0.131099,-0.519989,-0.197591,0.059625,0.601963,0.058774,-0.21032,-0.201359,-0.122357,-0.200282,0.113107,0.202141,-0.038743,-0.00017,0.021236,-0.016994,-0.000154,0.02426,-0.024092,0.095645,-0.049517,0.070446,-0.160125,-0.065114,0.141996,0.002196,-0.175444,0.044112,-0.144934,0.000928,0.011811,0.049914,0.010357,0.162726,-0.244782,0.11584,0.169693,-0.358142,0.077603,0.159275,-0.008452,0.037991,0.011867
D2,0.226567,1.0,0.070013,0.066004,0.007431,0.010388,-0.040333,0.9169,0.001298,-0.271177,0.02034,0.179729,0.175066,0.173008,0.173622,-0.095283,-0.175017,-0.006859,5.9e-05,-0.02193,0.014693,5.9e-05,0.005179,-0.202951,0.221012,0.068648,0.04314,-0.009114,-0.039608,-0.101161,-0.033572,0.239978,0.031545,0.103706,-0.009225,0.003935,-0.044455,0.146843,-0.075611,0.212998,0.030563,0.193214,0.170151,-0.136,-0.006862,-0.080264,0.085852,0.096277
D3,0.511171,0.070013,1.0,0.284284,-0.243553,-0.017789,0.999469,-0.067641,0.190317,-0.498629,0.000947,0.243132,0.233846,0.103011,0.235626,-0.035196,-0.23632,-0.01278,1.2e-05,0.009024,0.170886,1.2e-05,0.014448,0.019356,-0.173492,0.155725,0.000844,0.082664,0.034102,-0.173964,0.079724,0.020426,-0.175666,0.190824,-0.053305,0.032814,-0.085579,0.075403,-0.151286,0.231688,-0.249576,0.067948,0.417476,-0.063691,-0.16423,0.020267,-0.064495,-0.025951
D4,-0.206406,0.066004,0.284284,1.0,0.674072,0.008064,-0.284883,-0.011713,0.124016,0.263289,0.071678,-0.057307,-0.051579,-0.125485,-0.051499,0.096235,0.051805,0.060515,-5.5e-05,0.033239,-0.212936,-5.7e-05,0.115025,0.097988,0.005045,-0.104934,0.120204,-0.195935,-0.092178,0.257738,-0.139655,-0.089172,0.184974,-0.19617,0.233662,-0.21005,0.204911,-0.12166,0.077574,-0.222141,0.064081,-0.33561,-0.370514,0.144027,0.102231,0.033384,-0.077191,-0.031049
D5,-0.109089,0.007431,-0.243553,0.674072,1.0,-0.01375,0.242212,-0.022273,0.114946,-0.012154,0.003914,0.039777,0.037135,0.013044,0.039717,0.012083,-0.0381,-0.005333,0.000138,-0.061372,0.253572,0.000138,-0.207793,-0.078048,-0.047235,0.099582,-0.155337,0.246806,0.117008,-0.273291,0.250305,-0.023754,0.025324,0.156154,-0.268374,0.231145,-0.184231,-0.024904,0.003921,0.198301,-0.002905,0.189311,0.362982,-0.093369,-0.072386,-0.046562,0.072085,0.077522
D6,-0.131099,0.010388,-0.017789,0.008064,-0.01375,1.0,0.012024,0.150162,0.288643,0.043713,0.190252,-0.07393,-0.075465,-0.008663,-0.073204,0.017557,0.074161,-0.067875,-9e-06,0.128921,-0.068389,-9e-06,-0.080191,-0.090639,0.162787,-0.027203,-0.031679,-0.007923,-0.012625,0.087959,-0.043042,0.008561,0.040982,0.002538,0.015567,-0.002747,-0.023983,0.030788,0.025631,0.103601,0.166945,0.032962,-0.078711,0.112537,-0.033797,0.034489,0.050058,0.279981
D7,-0.519989,-0.040333,0.999469,-0.284883,0.242212,0.012024,1.0,0.045215,-0.1833,0.506061,0.000782,-0.248799,-0.23945,-0.107768,-0.241175,0.037385,0.241909,0.011573,2.6e-05,-0.007851,-0.17164,2.6e-05,-0.013864,-0.013398,0.167391,-0.157229,-0.002855,-0.082381,-0.032941,0.176588,-0.077522,-0.028404,0.17585,-0.193231,0.052507,-0.031823,0.08554,-0.080405,0.15244,-0.236656,0.24923,-0.074705,-0.422982,0.068593,0.1641,-0.017345,0.062092,0.023443
D8,-0.197591,0.9169,-0.067641,-0.011713,-0.022273,0.150162,0.045215,1.0,-0.208967,0.285225,-0.096014,-0.15119,-0.145618,-0.160904,-0.144364,0.094575,0.145827,0.05756,-2.5e-05,-0.007711,0.002681,-2.5e-05,-0.029996,0.143813,-0.180789,-0.084978,-0.014661,-0.005618,0.040366,0.089817,0.014204,-0.191537,-0.037756,-0.103967,0.019777,-0.018162,0.068074,-0.08546,0.082138,-0.21402,0.001626,-0.107616,-0.12505,0.101917,0.022154,0.044561,-0.023174,-0.088378
D9,0.059625,0.001298,0.190317,0.124016,0.114946,0.288643,-0.1833,-0.208967,1.0,0.373649,-0.705623,0.040361,0.04027,0.038578,0.040643,-0.029773,-0.040231,-0.055468,8e-05,0.051353,0.109085,8e-05,-0.074832,0.120573,-0.074857,-0.044903,0.014651,0.005705,0.01347,-0.03969,0.061974,0.018169,-0.042821,-0.010809,0.005248,-0.013907,0.030099,-0.040805,0.019739,-0.096131,-0.069778,0.065792,-0.094641,0.004179,0.030147,-0.003622,-0.080251,-0.150376
D10,0.601963,-0.271177,-0.498629,0.263289,-0.012154,0.043713,0.506061,0.285225,0.373649,1.0,0.458864,0.166924,0.157849,0.187371,0.157149,-0.085655,-0.159085,0.014556,0.000314,-0.027822,0.251772,0.000316,-0.004955,-0.115001,-0.008091,0.072385,-0.034024,0.127419,0.023839,-0.057389,-0.152078,0.250469,-0.184154,0.205076,0.05002,-0.073223,0.018541,0.241562,-0.133554,0.275464,-0.058485,0.243026,0.366831,-0.091526,-0.127639,-0.043965,0.105413,0.106675
