,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
D1,1.0,-0.121267,-0.008952,-0.000394,-0.001698,-0.00264,-0.000965,-0.005795,-0.003139,-0.00017,-0.008715,-0.011572,0.000531,-0.003573,-0.003588,0.000399,0.009765,0.099197,-0.023906,-0.005072,-0.009669,-0.039492,0.179011,-0.15322,0.048308,-0.051771,0.065395,-0.054506,-0.034857,-0.053999,-0.0629,-0.160433,-0.03237,-0.122764,-0.074518,0.131644,-0.07523,0.040046,-0.008717,-0.044723,-0.043582,0.164049,0.005593,-0.09645,0.035029,-0.002298,0.209246,-0.032894
D2,-0.121267,1.0,-0.030971,-0.022288,-0.027995,-0.025191,-0.015423,-0.026257,-0.024941,-0.027023,-0.017295,-0.031438,-0.028183,-0.017925,-0.011172,0.021509,0.023255,-0.049479,0.067548,-0.104319,-0.05804,0.143805,-0.105776,-0.016714,0.045009,-0.066685,-0.052812,0.055028,-0.003462,-0.051256,-0.048542,0.069337,0.12054,-0.065245,-0.008302,0.029112,0.071252,-0.056986,0.044769,0.07486,0.265104,-0.077728,-0.005007,0.006629,0.127654,-0.131674,-0.042909,0.022674
D3,-0.008952,-0.030971,1.0,-0.638986,-0.516243,-0.437258,-0.843096,-0.558375,-0.861319,-0.561915,-0.411582,-0.804061,-0.556158,0.085097,-0.753871,1.0,-0.599037,0.014248,0.020746,0.031182,0.010164,0.002347,-0.001562,0.055538,-0.025121,-0.003014,0.008995,-0.024161,0.009717,-0.002994,-0.002618,0.029664,-0.004582,0.002802,0.011469,-0.012631,0.013902,0.044658,0.009272,0.007303,0.009781,-0.004785,-0.002681,0.011834,-0.016637,0.015889,-0.010331,0.117984
D4,-0.000394,-0.022288,-0.638986,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.816947,0.904268,0.808816,0.002137,0.013107,0.038121,0.014191,-0.013139,-0.001403,0.017525,-0.020725,0.000735,0.036889,-0.029219,0.00137,-0.00782,0.026194,0.026555,0.004994,3.8e-05,0.013243,-0.013184,0.007235,0.018675,-0.000948,-9.4e-05,-0.005449,0.000231,0.004296,0.003145,-0.009653,0.025241,0.012903,0.003295
D5,-0.001698,-0.027995,-0.516243,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.719024,0.94197,0.836517,0.002542,0.015716,0.026434,0.012921,-0.029302,-0.001109,0.014365,-0.019299,0.000819,0.011069,-0.032351,0.002157,-0.009566,0.020087,0.014763,0.003117,0.000425,0.007393,-0.007927,0.016761,0.026443,-0.000409,0.000553,-0.003727,0.000295,0.002607,0.002666,-0.0085,0.017326,0.01113,0.004204
D6,-0.00264,-0.025191,-0.437258,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.452768,0.80528,0.961401,0.004546,0.020947,0.032978,0.017118,-0.012445,-0.001007,0.022469,-0.020756,0.001133,0.010072,-0.030563,0.000803,-0.014938,0.008213,0.017802,0.005709,0.000213,0.019786,-0.015494,0.010248,0.010872,-0.000508,0.000425,-0.004679,0.000146,0.002837,0.002994,-0.006024,0.008294,0.015672,0.005609
D7,-0.000965,-0.015423,-0.843096,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.461432,0.354054,0.789498,0.004774,0.016964,0.026502,0.01651,-0.016055,-0.001537,0.027154,-0.014557,0.001643,0.012264,-0.029612,0.001251,-0.009764,0.024434,0.031356,0.00593,0.000448,0.014289,-0.015501,0.015678,0.006241,-0.000401,0.00038,-0.010499,0.000107,0.004463,0.003853,-0.006191,0.017189,0.03119,0.009376
D8,-0.005795,-0.026257,-0.558375,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.509894,0.66216,0.967145,0.002252,0.019854,0.041638,0.016222,-0.028887,-0.001609,0.017884,-0.04528,0.00136,0.025995,-0.021405,0.000671,-0.010408,0.038586,0.03375,0.008648,0.000126,0.007662,-0.009141,0.017896,0.014194,-0.000255,0.000296,-0.003276,0.000119,0.002821,0.004271,-0.01188,0.015717,0.017286,0.004905
D9,-0.003139,-0.024941,-0.861319,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.129425,0.88007,0.947377,0.002965,0.020606,0.019691,0.029375,-0.023801,-0.000758,0.033994,-0.020474,0.001338,0.026922,-0.029067,0.00085,-0.012387,0.020371,0.020838,0.006043,0.000352,0.00592,-0.009353,0.014167,0.017563,-0.000813,0.000406,-0.002536,0.000329,0.002193,0.00223,-0.006802,0.017206,0.008789,0.01373
D10,-0.00017,-0.027023,-0.561915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.343577,0.586469,0.983512,0.00319,0.019767,0.03074,0.00742,-0.02424,-0.001499,0.034866,-0.015802,0.001061,0.018297,-0.028033,0.002546,-0.006518,0.01748,0.011507,0.007352,0.000412,0.01047,-0.007001,0.016492,0.01575,-0.000424,5.9e-05,-0.004146,3.6e-05,0.003104,0.001865,-0.011304,0.032521,0.017938,0.002512
